Frame	Temps(s)	X(m)	Y(m)	Z(m)
446	1776692058.042	-1.0284	0.2242	1.807
447	1776692058.057	-1.0259	0.2227	1.8017
448	1776692058.089	-1.026	0.2229	1.7986
449	1776692058.133	-1.022	0.2226	1.7915
450	1776692058.152	-1.0213	0.2236	1.7843
451	1776692058.217	-1.0178	0.2229	1.7784
452	1776692058.247	-1.0185	0.2225	1.7715
453	1776692058.263	-1.0187	0.2222	1.7635
454	1776692058.295	-1.0172	0.2214	1.7577
455	1776692058.333	-1.0154	0.2206	1.7501
456	1776692058.362	-1.0136	0.2214	1.7436
457	1776692058.394	-1.0103	0.2194	1.736
458	1776692058.433	-1.0087	0.2194	1.7285
459	1776692058.452	-1.0057	0.2195	1.7219
460	1776692058.483	-1.0007	0.2212	1.7119
461	1776692058.53	-0.9991	0.2194	1.7061
462	1776692058.547	-0.9985	0.2176	1.6991
463	1776692058.594	-0.9984	0.2168	1.6901
464	1776692058.639	-0.9965	0.2175	1.6848
465	1776692058.657	-0.9916	0.2176	1.6754
466	1776692058.688	-0.9874	0.2174	1.6643
467	1776692058.736	-0.9826	0.2171	1.6536
468	1776692058.798	-0.9828	0.2178	1.6439
469	1776692058.831	-0.9739	0.216	1.6398
470	1776692058.863	-0.972	0.2171	1.6299
471	1776692058.894	-0.9692	0.2178	1.6231
472	1776692058.942	-0.9663	0.2175	1.6147
473	1776692058.972	-0.9621	0.2174	1.6063
474	1776692059.005	-0.9603	0.2181	1.594
475	1776692059.041	-0.9554	0.2188	1.5843
476	1776692059.068	-0.9523	0.2164	1.5774
477	1776692059.1	-0.9485	0.2153	1.5692
478	1776692059.133	-0.9463	0.2159	1.5611
479	1776692059.162	-0.9416	0.2145	1.5507
480	1776692059.195	-0.9384	0.2145	1.5441
481	1776692059.227	-0.9339	0.2157	1.5359
482	1776692059.259	-0.9307	0.2158	1.5271
483	1776692059.29	-0.9279	0.2161	1.5181
484	1776692059.322	-0.9243	0.2163	1.5117
485	1776692059.354	-0.9197	0.2156	1.5053
486	1776692059.37	-0.9142	0.2134	1.4983
487	1776692059.415	-0.9136	0.2138	1.4922
488	1776692059.445	-0.9095	0.2131	1.4838
